product_handle,state,rating,title,author,email,location,body,reply,created_at,replied_at
,published,5,Color: GSize: 90cm 39 leaves,E***s,user@example.mail,ES,"<p>Very pretty and it's come very fast</p><img src='https://ae01.alicdn.com/kf/Uc1f08ce4209c48e28bf13e57f5a77e92p.jpg'><img src='https://ae01.alicdn.com/kf/U23a93bf2851040bdbf8402db37cd67f7J.jpg'><img src='https://ae01.alicdn.com/kf/U93159bbf86194e578992706eee3b3f1ak.jpg'>","",04 May 2021 07:42,""
,published,5,Color: HSize: 90cm 39 leaves,B***b,user@example.mail,NL,"<p>Very nice plant and quick delivery I'm very glad!! Thank you</p><img src='https://ae01.alicdn.com/kf/Uc4cb7d4ee7c94b4e8548b9b82c16aa9cP.jpg'>","",17 Jun 2021 03:07,""
,published,5,Color: CSize: 90cm 39 leaves,A***i,user@example.mail,IL,"<p>As the picture beautiful recommend arrived fast relative</p><img src='https://ae01.alicdn.com/kf/Uec894c585fe9448991569527f84605e2H.jpg'><img src='https://ae01.alicdn.com/kf/U208368d500d84333846946bb8d80bac3c.jpg'>","",19 May 2021 02:41,""
,published,5,Color: GSize: 90cm 39 leaves,W***a,user@example.mail,NL,"<p>Wow, really beautiful! Am very satisfied :-)</p><img src='https://ae01.alicdn.com/kf/U62b7d77accb5403bbf5beb4a19b42f51y.jpg'>","",17 Jun 2021 05:05,""
,published,5,Color: CSize: 90cm 39 leaves,F***o,user@example.mail,FR,"<p>I love it very nice</p><img src='https://ae01.alicdn.com/kf/U259d0000722444f7b46f6daae842573aP.jpg'>","",07 Apr 2021 23:08,""
,published,5,Color: CSize: 90cm 39 leaves,A***n,user@example.mail,US,"<p>Very nice</p><img src='https://ae01.alicdn.com/kf/U54ef305ade534f468812e14755c1f8b2O.jpg'><img src='https://ae01.alicdn.com/kf/U07bb7cbf35f54c80a321b40a325ad11eC.jpg'>","",17 Jun 2021 05:58,""
,published,5,Color: CSize: 90cm 39 leaves,K***e,user@example.mail,UK,"<p>Thanks, very fast delivery</p><img src='https://ae01.alicdn.com/kf/U61d580a710084c618318cc848b7745e0m.jpg'>","",08 Jun 2021 08:24,""
,published,5,Color: CSize: 90cm 39 leaves,M***.,user@example.mail,ES,"<p>It's very pretty.</p><img src='https://ae01.alicdn.com/kf/U1243b77e527b4db98c6d0cdb712b6b09c.jpg'>","",30 Jun 2021 21:14,""
,published,5,Color: ESize: 80cm 30 leaves,F***t,user@example.mail,FR,"<p>Parfait.</p><img src='https://ae01.alicdn.com/kf/Ue23aac82fc774abba5615ff357a32b4bz.jpg'>","",06 May 2021 04:18,""
,published,5,Color: GSize: 90cm 39 leaves,G***i,user@example.mail,SA,"<p>nice</p><img src='https://ae01.alicdn.com/kf/Ud045ad456f004af6b81598a1c9453c8dr.jpg'>","",24 May 2021 01:09,""
,published,4,Color: HSize: 90cm 39 leaves,A***z,user@example.mail,ES,"<p>All right, though the leaves came somewhat folded in the package. The rest as in description</p><img src='https://ae01.alicdn.com/kf/U60f34e2df22a45a198fa72e13640c5a0l.jpg'><img src='https://ae01.alicdn.com/kf/U00af8a85c64648738d5dd8f4a02e4281Q.jpg'>","",15 Apr 2021 09:30,""
,published,4,Color: HSize: 90cm 39 leaves,L***o,user@example.mail,ES,"<p>Not bad for the price, but for the comments I expected it more real. The leaves have come a lot of wrinkled and you can tell a lot it's a lie. In the photos you don't appreciate much. I'm gonna try another base and see if I like it better.</p><img src='https://ae01.alicdn.com/kf/U624d4fe098cf403593e0564e7724275dX.jpg'><img src='https://ae01.alicdn.com/kf/U511e794da1c64f15874a3f16319441a0g.jpg'>","",13 Apr 2021 02:14,""
,published,4,Color: DSize: 90cm 39 leaves,AliExpress Shopper,user@example.mail,FR,"<p>Article according to the description I just expected to have a pot but it is not disturbing. The article is very good.</p><img src='https://ae01.alicdn.com/kf/Ub5735d592bb942c9b36a1a68b0fcc9ceS.jpg'><img src='https://ae01.alicdn.com/kf/Uf13422c8d76a4fffa0dc4bbaf771337es.jpg'>","",21 Jul 2021 02:34,""
,published,4,Color: DSize: 90cm 39 leaves,A***s,user@example.mail,ES,"<p>It corresponds quite with the photo</p><img src='https://ae01.alicdn.com/kf/U8442f76f6126451e83b9eaf4ffec3f21q.jpg'><img src='https://ae01.alicdn.com/kf/U85ab6240f22b4250986f10c858675732Y.jpg'><img src='https://ae01.alicdn.com/kf/U653d5853bf2945b8a027134d6d023f0dS.jpg'>","",04 May 2021 10:35,""
,published,5,Color: ISize: 90cm 39 leaves,M***s,user@example.mail,ES,"<p>Very pretty, seems natural</p><img src='https://ae01.alicdn.com/kf/U71780f4c377f4303b67829347439b39b5.jpg'><img src='https://ae01.alicdn.com/kf/U87a2f58548ee4bcd99c911bb33244b90N.jpg'><img src='https://ae01.alicdn.com/kf/Ua3808c43b29c4c12bc702c968fd811cdJ.jpg'><img src='https://ae01.alicdn.com/kf/U692b7fe979ad42eda57739db6e641cfcd.jpg'>","",18 Jun 2021 07:06,""
,published,4,Color: CSize: 80cm 30 leaves,A***e,user@example.mail,LT,"<p><2en> Matosi, kad dirbtinė gėlė employees (insured)</p><img src='https://ae01.alicdn.com/kf/Ua5345b2fe6d943508244aba29fcf1e749.jpg'>","",14 Jul 2021 05:53,""
,published,3,Color: CSize: 90cm 39 leaves,D***d,user@example.mail,ES,"<p>It's not like in the picture, it's very badly done. It's very badly finished. He's home soon.</p><img src='https://ae01.alicdn.com/kf/U7d0555a6aaff416db88934fbb1954b0dh.jpg'><img src='https://ae01.alicdn.com/kf/U15647b2e27764c5494a854a701ba1beat.jpg'>","",15 Apr 2021 05:40,""
,published,3,Color: CSize: 80cm 30 leaves,AliExpress Shopper,user@example.mail,JP,"<p>Immediately and gutters do yo)</p><img src='https://ae01.alicdn.com/kf/U952f7be38a24409eba54aeead9b1f9713.jpg'>","",28 May 2021 11:07,""
,published,2,Color: CSize: 90cm 39 leaves,B***l,user@example.mail,ES,"<p>I expected it higher and they're low. And it came as seen in the photo, but no pot</p><img src='https://ae01.alicdn.com/kf/Ua7459f9b33ed458086b1a501d6f798ae0.jpg'>","",20 Apr 2021 01:54,""
,published,1,Color: GSize: 90cm 39 leaves,J***e,user@example.mail,FR,"<p>I did not jzmsis received my article were thieves I sent them the proof that I had not received anything and I was not refunded either</p><img src='https://ae01.alicdn.com/kf/U40aa86d70f82461596f7b1587b66be33H.jpg'>","",05 May 2021 08:16,""
,published,1,Color: CSize: 90cm 39 leaves,F***r,user@example.mail,US,"<p>The worst quality. I want to return it. I messaged seller but no response. Picture is different from what you receive. </p><img src='https://ae01.alicdn.com/kf/Uca0142250e3a4333bea58d23cd0635d6f.jpg'>","",30 May 2021 15:22,""
,published,5,Color: DSize: 90cm 39 leaves,+***s,user@example.mail,RU,"<p></p><img src='https://ae01.alicdn.com/kf/U6993b1c0bb9148a9beabd629b7c3eca7K.jpg'>","",13 Aug 2021 02:06,""
,published,5,Color: CSize: 90cm 39 leaves,J***z,user@example.mail,ES,"<p></p><img src='https://ae01.alicdn.com/kf/Ua91d20ec5fdc44fcaef981f9e76718d1Q.jpg'>","",26 Aug 2021 06:44,""
,published,5,Color: CSize: 90cm 39 leaves,R***t,user@example.mail,RU,"<p></p><img src='https://ae01.alicdn.com/kf/Ube6b5b14d27d4ea3af617eccbd1bf9e5P.jpg'>","",13 Sep 2021 08:27,""
,published,5,Color: CSize: 90cm 39 leaves,S***.,user@example.mail,PE,"<p></p><img src='https://ae01.alicdn.com/kf/U90a56cab8aec4c6da7fba394d03be61fG.jpg'><img src='https://ae01.alicdn.com/kf/Uacde885f80154bd19c062645055f1ccdl.jpg'>","",05 May 2021 02:57,""
,published,5,Color: CSize: 80cm 30 leaves,E***z,user@example.mail,ES,"<p></p><img src='https://ae01.alicdn.com/kf/Uda0b4b1324aa4269a72755a0d23ef00e2.jpg'><img src='https://ae01.alicdn.com/kf/U17295661d054407fad82ac690e5eee17O.jpg'>","",28 Jul 2021 23:21,""
,published,5,Color: CSize: 90cm 39 leaves,T***m,user@example.mail,IL,"<p></p><img src='https://ae01.alicdn.com/kf/U185bbb06c3924522b0c1ce9f82e984426.jpg'>","",06 Jul 2021 06:14,""
,published,5,Color: CSize: 90cm 39 leaves,V***+,user@example.mail,BE,"<p></p><img src='https://ae01.alicdn.com/kf/Uc8d9cca31605472aa9746cb6331e11a6w.jpg'>","",04 May 2021 02:12,""
,published,5,Color: CSize: 90cm 39 leaves,F***o,user@example.mail,FR,"<p></p><img src='https://ae01.alicdn.com/kf/Uf80e9323a36a4a7b9a211a413e8099020.jpg'>","",19 Aug 2021 13:53,""
,published,5,Color: GSize: 90cm 39 leaves,I***l,user@example.mail,IL,"<p></p><img src='https://ae01.alicdn.com/kf/U8d55e38eb0e2403592e3e98151121ed45.jpg'>","",08 Aug 2021 03:05,""
,published,5,Color: ISize: 90cm 39 leaves,R***a,user@example.mail,ES,"<p></p><img src='https://ae01.alicdn.com/kf/Ud136d407f43b4da6830dbda4686a5ecb6.jpg'>","",20 Apr 2021 03:19,""
,published,5,Color: HSize: 90cm 39 leaves,N***r,user@example.mail,RU,"<p></p><img src='https://ae01.alicdn.com/kf/U4381886d01e540f1ac9760762be69b2aF.jpg'>","",09 Aug 2021 07:52,""
,published,5,Color: CSize: 90cm 39 leaves,J***s,user@example.mail,ES,"<p></p><img src='https://ae01.alicdn.com/kf/Ue4ec76c81a1e41ea8da59941d08614edj.jpg'>","",02 Jun 2021 11:52,""
,published,5,Color: GSize: 90cm 39 leaves,E***r,user@example.mail,ES,"<p></p><img src='https://ae01.alicdn.com/kf/U7fe7bac01a39427bb324534c617eda89l.jpg'>","",28 Apr 2021 02:58,""
,published,5,Color: GSize: 90cm 39 leaves,P***p,user@example.mail,ES,"<p></p><img src='https://ae01.alicdn.com/kf/U728d72ad1b394f159cee2fe588a4f94aw.jpg'>","",02 Jul 2021 09:20,""
,published,1,Color: FSize: 90cm 39 leaves,N***n,user@example.mail,SA,"<p>C-packaging arrived in a C-shaped and useful</p><img src='https://ae01.alicdn.com/kf/Ub7835897fee9446db9095d55be0af445D.jpg'>","",07 Jun 2021 06:21,""
,published,1,Color: GSize: 90cm 39 leaves,2***r,user@example.mail,ES,"<p>This didn't come to me.</p><img src='https://ae01.alicdn.com/kf/Ufefb8bf8126e48a49c30ba47c9226046y.jpg'>","",22 Aug 2021 05:01,""
,published,4,Color: ASize: 80cm 30 leaves,AliExpress Shopper,user@example.mail,BR,"<p></p><img src='https://ae01.alicdn.com/kf/U4eda0a3d51894f4a8b5d4a61338fd002h.jpg'>","",14 Jul 2021 03:43,""
,published,5,Color: CSize: 90cm 39 leaves,M***i,user@example.mail,ES,"<p></p><img src='https://ae01.alicdn.com/kf/U89eacb397d7f4c3faa2f29adc3a6cefdP.jpg'><img src='https://ae01.alicdn.com/kf/U787d07785e0a4a2ab729dcaf9dc5b408I.jpg'>","",16 Apr 2021 06:46,""
,published,5,Color: GSize: 90cm 39 leaves,K***r,user@example.mail,BE,"<p></p><img src='https://ae01.alicdn.com/kf/Udbc7e29f41de4e5d9de28d1f0b74a701K.jpg'>","",09 Apr 2021 05:14,""
,published,4,Color: HSize: 90cm 39 leaves,S***a,user@example.mail,DE,"<p></p><img src='https://ae01.alicdn.com/kf/Ubc8ce65fb98947cb8a88aba49e4949feb.jpg'>","",22 May 2021 03:52,""
,published,5,Color: ASize: 80cm 30 leaves,F***t,user@example.mail,FR,"<p>Parfait.</p><img src='https://ae01.alicdn.com/kf/Ue23aac82fc774abba5615ff357a32b4bz.jpg'>","",06 May 2021 04:18,""
,published,5,Color: GSize: 90cm 39 leaves,G***i,user@example.mail,NL,"<p></p><img src='https://ae01.alicdn.com/kf/Ua2a042496c634fd0895d53b14a014e1dn.jpg'><img src='https://ae01.alicdn.com/kf/Uca9aa1453ea74c1590e343683d376ad1y.jpg'><img src='https://ae01.alicdn.com/kf/U2b23b454f88b477c9bc83d54f22148e0P.jpg'><img src='https://ae01.alicdn.com/kf/U00af2bf736db4f8bb51efaae02ecf20bs.jpg'>","",28 Sep 2021 12:26,""
,published,5,Color: CSize: 90cm 39 leaves,L***o,user@example.mail,CL,"<p>I love it, very good</p><img src='https://ae01.alicdn.com/kf/Uf611e8558be246a08b9e8f3111598d2f5.jpg'>","",28 Sep 2021 08:38,""
,published,5,Color: HSize: 90cm 39 leaves,I***o,user@example.mail,ES,"<p>All good</p><img src='https://ae01.alicdn.com/kf/Ub526062cb73e4e3db59c863297382e04f.jpg'>","",22 Sep 2021 13:11,""
,published,4,Color: FSize: 90cm 39 leaves,F***a,user@example.mail,ES,"<p>Fast shipping and exact description</p><img src='https://ae01.alicdn.com/kf/Ub7595b249a3247809521a2f5ba2e96e9k.jpg'>","",25 Sep 2021 10:13,""
