product_handle,state,rating,title,author,email,location,body,reply,created_at,replied_at
,published,5,Color: greenShoe Size: 43,D***s,user@example.mail,SG,"<p>The shoes is comfortable and light weight </p><img src='https://ae01.alicdn.com/kf/Uab9a4f76c2f84bda8fd067e8452f114d5.jpg'><img src='https://ae01.alicdn.com/kf/U3c82f1bc878543e8b16451e67fac2b7ay.jpg'><img src='https://ae01.alicdn.com/kf/U35370f486b524817b9dc99b22334ce94X.jpg'>","",03 May 2021 02:23,""
,published,5,Color: greenShoe Size: 41,D***v,user@example.mail,RU,"<p>отличные кроссы! заказываю уже 3ю пару. за 3 года. немного поменяли дизайн подошвы, но всё равно - Супер!!!! очень быстрая доставка. до мск - неделя!))) очень хороший продавец!</p><img src='https://ae01.alicdn.com/kf/U52378b9027f9407c9c9d818d8ca3544a9.jpg'>","",14 Aug 2021 02:49,""
,published,5,Color: greenShoe Size: 44,B***b,user@example.mail,CL,"<p>Super good quality and comfort</p><img src='https://ae01.alicdn.com/kf/Ufb4496c72d6f48a6a4a3c8fea4d67f20E.jpg'>","",24 Sep 2021 09:00,""
,published,5,Color: greenShoe Size: 42,R***r,user@example.mail,RU,"<p>Boots are good, all as written</p><img src='https://ae01.alicdn.com/kf/U2cf2c8ab259d40f08afbf463f1ee840fV.jpg'>","",20 Aug 2021 21:23,""
,published,5,Color: FZ65-redShoe Size: 42,AliExpress Shopper,user@example.mail,CL,"<p>My dad is very happy with the slippers</p><img src='https://ae01.alicdn.com/kf/U9de315f25a194939960ff9c32737b1ece.jpg'>","",21 Aug 2021 10:15,""
,published,5,Color: greenShoe Size: 41,9***r,user@example.mail,IT,"<p>Prodotto di qualità e confortevole Grazie mille</p><img src='https://ae01.alicdn.com/kf/U3f83fc6f30a7481c82c0de2c948df1bf3.jpg'>","",14 Jun 2021 11:59,""
,published,5,Color: greenShoe Size: 42,S***i,user@example.mail,RU,"<p>We arrived in 10 days well, plus the seller sent 2 days. In general, everything is very good with a coupon from Ali went out for 1386r. I recommend the seller, I also want to tell those who ask what size to take, take on the table, namely the length of the foot.</p><img src='https://ae01.alicdn.com/kf/U0fd8961dbf044afe96bb5eb930277734m.jpg'><img src='https://ae01.alicdn.com/kf/U030febed4be447429e93142d2c295ea2J.jpg'><img src='https://ae01.alicdn.com/kf/U25857b7e7bae4adeb21d42feb9682a6dN.jpg'>","",04 Aug 2021 06:38,""
,published,5,Color: 808-blackShoe Size: 43,AliExpress Shopper,user@example.mail,FR,"<p></p><img src='https://ae01.alicdn.com/kf/U635d4d25135247348b3a8472747e4739h.jpg'><img src='https://ae01.alicdn.com/kf/U259251f2a9794ab29a5a09fe49db99beC.jpg'>","",06 Sep 2021 12:52,""
,published,5,Color: greenShoe Size: 43,T***l,user@example.mail,FR,"<p></p><img src='https://ae01.alicdn.com/kf/Uab4d5197500141ab8feb55ba58171cb2D.jpg'><img src='https://ae01.alicdn.com/kf/U2b53030c347c498b9801bb87a31a4c7bs.jpg'><img src='https://ae01.alicdn.com/kf/Ua06da9531ed54b06b98345f77563a3b40.jpg'>","",21 Aug 2021 06:45,""
,published,5,Color: greenShoe Size: 48,AliExpress Shopper,user@example.mail,RU,"<p></p><img src='https://ae01.alicdn.com/kf/Ue3a8721c884440bd9babc9d28350ef2df.jpg'>","",13 Sep 2021 22:04,""
,published,5,Color: greenShoe Size: 45,A***d,user@example.mail,SA,"<p></p><img src='https://ae01.alicdn.com/kf/U9852c018d9064a9992a7dc423ba0816df.jpg'>","",02 Jun 2021 08:10,""
,published,5,Color: greenShoe Size: 43,A***e,user@example.mail,BE,"<p></p><img src='https://ae01.alicdn.com/kf/U38036e09c1924c8f9c04b89ff0ea67faq.jpg'>","",04 Jun 2021 09:06,""
,published,5,Color: 808-grayShoe Size: 39,M***i,user@example.mail,US,"<p></p><img src='https://ae01.alicdn.com/kf/U44a6f4cebadd4f36b0b98738e084edcdo.jpg'>","",01 Aug 2021 16:38,""
,published,5,Color: greenShoe Size: 44,F***r,user@example.mail,NL,"<p></p><img src='https://ae01.alicdn.com/kf/U7622dc894a984a92963a9b3cc6163f7ei.jpg'>","",02 Sep 2021 03:20,""
,published,5,Color: greenShoe Size: 43,AliExpress Shopper,user@example.mail,RU,"<p>Slightly longer, but norms, I recommend the seller!</p><img src='https://ae01.alicdn.com/kf/Ua6146362ffcf47baa06e4015dddab3e7z.jpg'>","",27 Sep 2021 05:23,""
